time,emg1,emg2,label
1776066795.880009,12,40,1
1776066795.882036,12,40,1
1776066795.883439,12,40,1
1776066795.8856177,12,40,1
1776066795.8880272,12,40,1
1776066795.890034,12,40,1
1776066795.8916662,12,38,1
1776066795.894018,12,38,1
1776066795.8960419,12,38,1
1776066795.8974388,12,38,1
1776066795.898444,12,38,1
1776066795.9018514,12,38,1
1776066795.9040542,12,38,1
1776066795.9054637,14,36,1
1776066795.9064693,14,36,1
1776066795.9100678,16,36,1
1776066795.912042,16,36,1
1776066795.9134886,18,36,1
1776066795.914494,18,34,1
1776066795.917793,18,34,1
1776066795.9200704,18,34,1
1776066795.9221363,18,34,1
1776066795.9221363,18,34,1
1776066795.926069,18,36,1
1776066795.928086,18,36,1
1776066795.929489,18,36,1
1776066795.9304943,18,36,1
1776066795.9338918,18,36,1
1776066795.935804,18,36,1
1776066795.93825,18,34,1
1776066795.93825,16,34,1
1776066795.942119,16,34,1
1776066795.9441454,16,36,1
1776066795.9455137,16,36,1
1776066795.9465194,18,38,1
1776066795.9495392,18,40,1
1776066795.9521766,18,40,1
1776066795.9535604,18,38,1
1776066795.9547005,18,40,1
1776066795.958174,18,38,1
1776066795.96017,18,38,1
1776066795.961564,18,40,1
1776066795.9625697,18,40,1
1776066795.9658751,18,42,1
1776066795.968113,18,42,1
1776066795.9697824,18,42,1
1776066795.9697824,18,42,1
1776066795.9754667,18,42,1
1776066795.976142,18,42,1
1776066795.9781702,18,40,1
1776066795.9806411,18,42,1
1776066795.982368,18,40,1
1776066795.9839835,18,42,1
1776066795.984986,18,40,1
1776066795.988199,18,40,1
1776066795.990192,18,40,1
1776066795.9915886,18,40,1
1776066795.994226,18,38,1
1776066795.9962227,18,40,1
1776066795.9976387,18,38,1
1776066795.998644,20,38,1
1776066796.0029185,18,38,1
1776066796.003977,20,38,1
1776066796.0062313,18,38,1
1776066796.007614,18,38,1
1776066796.0102475,18,40,1
1776066796.0122006,18,42,1
1776066796.0136387,18,42,1
1776066796.0146441,18,42,1
1776066796.0180259,18,42,1
1776066796.0202522,18,42,1
1776066796.0216632,18,42,1
1776066796.0242515,18,42,1
1776066796.0262508,18,42,1
1776066796.0276387,18,42,1
1776066796.028644,18,44,1
1776066796.0322773,18,42,1
1776066796.033661,18,44,1
1776066796.0357227,16,42,1
1776066796.0367994,16,42,1
1776066796.0402956,14,42,1
1776066796.0422752,14,42,1
1776066796.0437636,14,42,1
1776066796.0447693,14,42,1
1776066796.0482965,14,44,1
1776066796.049764,14,42,1
1776066796.0520835,14,44,1
1776066796.0520835,14,44,1
1776066796.056296,14,44,1
1776066796.05833,14,46,1
1776066796.0597634,14,48,1
1776066796.060778,14,48,1
1776066796.064343,14,50,1
1776066796.065764,14,50,1
1776066796.0683055,14,50,1
1776066796.0706322,14,52,1
1776066796.0722928,14,52,1
1776066796.0743256,14,52,1
1776066796.0756383,14,52,1
1776066796.0783558,14,50,1
1776066796.0803592,14,50,1
1776066796.0817635,14,50,1
1776066796.0841472,14,50,1
1776066796.085973,14,50,1
1776066796.0883734,14,50,1
1776066796.089992,14,48,1
